Symbol,NSE_Ticker,Company Name,Industry,ISIN Code
PPLPHARMA,PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare,INE0DK501011
PREMIERENE,PREMIERENE.NS,Premier Energies Ltd.,Capital Goods,INE0BS701011
PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,INE811K01011
PTCIL,PTCIL.NS,PTC Industries Ltd.,Capital Goods,INE596F01018
PVRINOX,PVRINOX.NS,PVR INOX Ltd.,Media Entertainment & Publication,INE191H01014
PWL,PWL.NS,Physicswallah Ltd.,Consumer Services,INE0LP301011
RADICO,RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,INE944F01028
RAILTEL,RAILTEL.NS,Railtel Corporation Of India Ltd.,Telecommunication,INE0DD101019
RAINBOW,RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare,INE961O01016
RAMCOCEM,RAMCOCEM.NS,The Ramco Cements Ltd.,Construction Materials,INE331A01037
RBLBANK,RBLBANK.NS,RBL Bank Ltd.,Financial Services,INE976G01028
RECLTD,RECLTD.NS,REC Ltd.,Financial Services,INE020B01018
REDINGTON,REDINGTON.NS,Redington Ltd.,Services,INE891D01026
RELIANCE,RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,INE002A01018
RHIM,RHIM.NS,RHI MAGNESITA INDIA LTD.,Capital Goods,INE743M01012
RITES,RITES.NS,RITES Ltd.,Construction,INE320J01015
RKFORGE,RKFORGE.NS,Ramkrishna Forgings Ltd.,Automobile and Auto Components,INE399G01023
RPOWER,RPOWER.NS,Reliance Power Ltd.,Power,INE614G01033
RRKABEL,RRKABEL.NS,R R Kabel Ltd.,Capital Goods,INE777K01022
RVNL,RVNL.NS,Rail Vikas Nigam Ltd.,Construction,INE415G01027
SAGILITY,SAGILITY.NS,Sagility Ltd.,Information Technology,INE0W2G01015
SAIL,SAIL.NS,Steel Authority of India Ltd.,Metals & Mining,INE114A01011
SAILIFE,SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,INE570L01029
SAMMAANCAP,SAMMAANCAP.NS,Sammaan Capital Ltd.,Financial Services,INE148I01020
SAPPHIRE,SAPPHIRE.NS,Sapphire Foods India Ltd.,Consumer Services,INE806T01020
SARDAEN,SARDAEN.NS,Sarda Energy and Minerals Ltd.,Metals & Mining,INE385C01021
SAREGAMA,SAREGAMA.NS,Saregama India Ltd,Media Entertainment & Publication,INE979A01025
SBFC,SBFC.NS,SBFC Finance Ltd.,Financial Services,INE423Y01016
SBICARD,SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,INE018E01016
SBILIFE,SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,INE123W01016
SBIN,SBIN.NS,State Bank of India,Financial Services,INE062A01020
SCHAEFFLER,SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components,INE513A01022
SCHNEIDER,SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,Capital Goods,INE839M01018
SCI,SCI.NS,Shipping Corporation of India Ltd.,Services,INE109A01011
SHREECEM,SHREECEM.NS,Shree Cement Ltd.,Construction Materials,INE070A01015
SHRIRAMFIN,SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,INE721A01047
SHYAMMETL,SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Capital Goods,INE810G01011
SIEMENS,SIEMENS.NS,Siemens Ltd.,Capital Goods,INE003A01024
SIGNATURE,SIGNATURE.NS,Signatureglobal (India) Ltd.,Realty,INE903U01023
SJVN,SJVN.NS,SJVN Ltd.,Power,INE002L01015
SOBHA,SOBHA.NS,Sobha Ltd.,Realty,INE671H01015
SOLARINDS,SOLARINDS.NS,Solar Industries India Ltd.,Chemicals,INE343H01029
SONACOMS,SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,INE073K01018
SONATSOFTW,SONATSOFTW.NS,Sonata Software Ltd.,Information Technology,INE269A01021
SPLPETRO,SPLPETRO.NS,Supreme Petrochem Ltd.,Chemicals,INE663A01033
SRF,SRF.NS,SRF Ltd.,Chemicals,INE647A01010
STARHEALTH,STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services,INE575P01011
SUMICHEM,SUMICHEM.NS,Sumitomo Chemical India Ltd.,Chemicals,INE258G01013
SUNDARMFIN,SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services,INE660A01013
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,INE044A01036
SUNTV,SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication,INE424H01027
SUPREMEIND,SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,INE195A01028
SUZLON,SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,INE040H01021
SWANCORP,SWANCORP.NS,Swan Corp Ltd.,Chemicals,INE665A01038
SWIGGY,SWIGGY.NS,Swiggy Ltd.,Consumer Services,INE00H001014
SYNGENE,SYNGENE.NS,Syngene International Ltd.,Healthcare,INE398R01022
SYRMA,SYRMA.NS,Syrma SGS Technology Ltd.,Capital Goods,INE0DYJ01015
TARIL,TARIL.NS,Transformers And Rectifiers (India) Ltd.,Capital Goods,INE763I01026
TATACAP,TATACAP.NS,Tata Capital Ltd.,Financial Services,INE976I01016
TATACHEM,TATACHEM.NS,Tata Chemicals Ltd.,Chemicals,INE092A01019
TATACOMM,TATACOMM.NS,Tata Communications Ltd.,Telecommunication,INE151A01013
TATACONSUM,TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,INE192A01025
TATAELXSI,TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology,INE670A01012
TATAINVEST,TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,INE672A01026
TATAPOWER,TATAPOWER.NS,Tata Power Co. Ltd.,Power,INE245A01021
TATASTEEL,TATASTEEL.NS,Tata Steel Ltd.,Metals & Mining,INE081A01020
TATATECH,TATATECH.NS,Tata Technologies Ltd.,Information Technology,INE142M01025
TBOTEK,TBOTEK.NS,TBO Tek Ltd.,Consumer Services,INE673O01025
TCS,TCS.NS,Tata Consultancy Services Ltd.,Information Technology,INE467B01029
TECHM,TECHM.NS,Tech Mahindra Ltd.,Information Technology,INE669C01036
TECHNOE,TECHNOE.NS,Techno Electric & Engineering Company Ltd.,Construction,INE285K01026
TEGA,TEGA.NS,Tega Industries Ltd.,Capital Goods,INE011K01018
TEJASNET,TEJASNET.NS,Tejas Networks Ltd.,Telecommunication,INE010J01012
TENNIND,TENNIND.NS,Tenneco Clean Air India Ltd.,Automobile and Auto Components,INE19RI01016
THELEELA,THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,INE0AQ201015
THERMAX,THERMAX.NS,Thermax Ltd.,Capital Goods,INE152A01029
TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,INE974X01010
TIMKEN,TIMKEN.NS,Timken India Ltd.,Capital Goods,INE325A01013
TITAGARH,TITAGARH.NS,Titagarh Rail Systems Ltd.,Capital Goods,INE615H01020
TITAN,TITAN.NS,Titan Company Ltd.,Consumer Durables,INE280A01028
TMCV,TMCV.NS,Tata Motors Ltd.,Capital Goods,INE1TAE01010
TMPV,TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,INE155A01022
TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,INE685A01028
TORNTPOWER,TORNTPOWER.NS,Torrent Power Ltd.,Power,INE813H01021
TRAVELFOOD,TRAVELFOOD.NS,Travel Food Services Ltd.,Consumer Services,INE103V01028
TRENT,TRENT.NS,Trent Ltd.,Consumer Services,INE849A01020
TRIDENT,TRIDENT.NS,Trident Ltd.,Textiles,INE064C01022
TRITURBINE,TRITURBINE.NS,Triveni Turbine Ltd.,Capital Goods,INE152M01016
TTML,TTML.NS,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,INE517B01013
TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,INE494B01023
UBL,UBL.NS,United Breweries Ltd.,Fast Moving Consumer Goods,INE686F01025
UCOBANK,UCOBANK.NS,UCO Bank,Financial Services,INE691A01018
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,INE481G01011
UNIONBANK,UNIONBANK.NS,Union Bank of India,Financial Services,INE692A01016
UNITDSPR,UNITDSPR.NS,United Spirits Ltd.,Fast Moving Consumer Goods,INE854D01024
UNOMINDA,UNOMINDA.NS,UNO Minda Ltd.,Automobile and Auto Components,INE405E01023
UPL,UPL.NS,UPL Ltd.,Chemicals,INE628A01036
URBANCO,URBANCO.NS,Urban Company Ltd.,Consumer Services,INE0CAZ01013
USHAMART,USHAMART.NS,Usha Martin Ltd.,Capital Goods,INE228A01035
UTIAMC,UTIAMC.NS,UTI Asset Management Company Ltd.,Financial Services,INE094J01016
VBL,VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,INE200M01039
VEDL,VEDL.NS,Vedanta Ltd.,Metals & Mining,INE205A01025
VIJAYA,VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,Healthcare,INE043W01024
VMM,VMM.NS,Vishal Mega Mart Ltd.,Consumer Services,INE01EA01019
VOLTAS,VOLTAS.NS,Voltas Ltd.,Consumer Durables,INE226A01021
VTL,VTL.NS,Vardhman Textiles Ltd.,Textiles,INE825A01020
WAAREEENER,WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods,INE377N01017
WELCORP,WELCORP.NS,Welspun Corp Ltd.,Capital Goods,INE191B01025
WELSPUNLIV,WELSPUNLIV.NS,Welspun Living Ltd.,Textiles,INE192B01031
WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India Ltd.,Consumer Durables,INE716A01013
WIPRO,WIPRO.NS,Wipro Ltd.,Information Technology,INE075A01022
WOCKPHARMA,WOCKPHARMA.NS,Wockhardt Ltd.,Healthcare,INE049B01025
YESBANK,YESBANK.NS,Yes Bank Ltd.,Financial Services,INE528G01035
ZEEL,ZEEL.NS,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,INE256A01028
ZENSARTECH,ZENSARTECH.NS,Zensar Technolgies Ltd.,Information Technology,INE520A01027
ZENTEC,ZENTEC.NS,Zen Technologies Ltd.,Capital Goods,INE251B01027
ZFCVINDIA,ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,INE342J01019
ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,INE010B01027
ZYDUSWELL,ZYDUSWELL.NS,Zydus Wellness Ltd.,Fast Moving Consumer Goods,INE768C01028
